'Number of Parameters' 17
'H2O' 3.0 0.0 18.0153
'Ag+' 2.5 1.0 107.8682
'Al+++' 9.0 3.0 26.9815
'Am+++' 5.0 3.0 243.0000
'Ar(aq)' 3.0 0.0 39.9480
'Au+' 4.0 1.0 196.9665
'B(OH)3(aq)' 3.0 0.0 61.8330
'Ba++' 5.0 2.0 137.3270
'Be++' 8.0 2.0 9.0122
'Br-' 3.0 -1.0 79.9040
'Ca++' 6.0 2.0 40.0780
'Cd++' 5.0 2.0 112.4110
'Ce+++' 9.0 3.0 140.1150
'Cl-' 3.0 -1.0 35.4527
'ClO4-' 3.5 -1.0 99.4503
'Co++' 6.0 2.0 58.9332
'CO2(aq)*' 3.0 0.0 44.0098
'CrO4--' 4.0 -2.0 115.9937
'Cs+' 2.5 1.0 132.9054
'Cu++' 6.0 2.0 63.5460
'Dy+++' 5.0 3.0 162.5000
'Er+++' 5.0 3.0 167.2600
'Eu+++' 5.0 3.0 151.9650
'F-' 3.5 -1.0 18.9984
'Fe++' 6.0 2.0 55.8470
'Fe+++' 9.0 3.0 55.8470
'Ga+++' 5.0 3.0 69.7230
'Gd+++' 5.0 3.0 157.2500
'H+' 9.0 1.0 1.0079
'H2(aq)' 3.0 0.0 2.0159
'H2AsO4-' 4.0 -1.0 140.9351
'HCO3-' 4.0 -1.0 61.0171
'HPO4--' 4.0 -2.0 95.9793
'He(aq)' 3.0 0.0 4.0026
'Hf++++' 11.0 4.0 178.4900
'Hg++' 5.0 2.0 200.5900
'Ho+++' 5.0 3.0 164.9303
'HS-' 3.5 -1.0 33.0739
'I-' 3.0 -1.0 126.9045
'In+++' 9.0 3.0 114.8200
'K+' 3.0 1.0 39.0983
'Kr(aq)' 3.0 0.0 83.8000
'La+++' 9.0 3.0 138.9055
'Li+' 6.0 1.0 6.9410
'Lu+++' 5.0 3.0 174.9670
'Mg++' 8.0 2.0 24.3050
'Mn++' 6.0 2.0 54.9380
'MoO4--' 4.5 -2.0 159.9376
'NH3(aq)' 3.0 0.0 17.0306
'Na+' 4.0 1.0 22.9898
'Nd+++' 9.0 3.0 144.2400
'Ne(aq)' 3.0 0.0 20.1797
'Ni++' 6.0 2.0 58.6900
'NO3-' 3.0 -1.0 62.0049
'NO2-' 3.0 -1.0 46.0055
'Np++++' 5.5 4.0 237.0480
'Pb++' 4.5 2.0 207.2000
'Pd++' 4.5 2.0 106.4200
'Pm+++' 5.0 3.0 147.0000
'Pr+++' 9.0 3.0 140.9076
'Pu++++' 5.5 4.0 244.0000
'Ra++' 5.0 2.0 226.0250
'Rb+' 2.5 1.0 85.4678
'ReO4-' 4.0 -1.0 250.2046
'Rn(aq)' 3.0 0.0 222.0000
'RuO4--' 4.0 -2.0 165.0676
'SO4--' 4.0 -2.0 96.0636
'Sb(OH)3(aq)' 3.0 0.0 172.7720
'Sc+++' 9.0 3.0 44.9559
'SeO3--' 4.0 -2.0 126.9582
'SiO2(aq)' 3.0 0.0 60.0843
'Yb+++' 5.0 3.0 173.0400
'Zn++' 6.0 2.0 65.3900
'Zr(OH)2++' 4.5 2.0 125.2387
'O2(g)' 3.0 0.0 31.9988
'O2(aq)' 3.0 0.0 31.99880
'Tracer_Age' 0.0 0. 0.
'Water_Age' 3.0 0. 0.
'Acetate-' 4.5 -1.0 59.0446
'Ethanol(aq)' 3.0 0.0 46.0690
'Citrate---' 4.5 -3.0 189.1013
'EDTA----' 4.0 -4.0 288.2134
'NTA---' 3.0 -3.0 188.117 'pcl-valocchi'
'Colloid-goe' 3.0 0.0 1.34588e9 'pcl-goethite colloid'
'Colloid-beid' 3.0 0.0 8.9246e8 'pcl-beidelite colloid'
'PCE' 0. 0. 0.
